,t_count,concept,d_count,tf,idf,tf_idf,DSI-01,DSI-02,DSI-03,DSI-04,DSI-05,DSI-06,DSI-07,DSI-08,DSI-09,DSI-10,DSI-11,DSI-12,DSI-13,DSI-14,DSI-15,DSI-16,DSI-17,DSI-18,DSI-19,DSI-20,DSI-21,DSI-22,DSI-23,DSI-24,DSI-25,DSI-26,DSI-27,DSI-28,DSI-29,DSI-30,DSI-31,DSI-32,DSI-33,DSI-34,DSI-35,DSI-36,DSI-37,DSI-38,DSI-39,DSI-40,DSI-41,DSI-42,DSI-43,DSI-44,DSI-45,DSI-46,DSI-47,DSI-48,DSI-49,DSI-50,DSI-51,DSI-52,DSI-53,DSI-54,DSI-55,DSI-56,DSI-57,DSI-58,DSI-59,DSI-60,DSI-61,DSI-62,DSI-63,DSI-64,DSI-65,DSI-66,DSI-67,DSI-68,DSI-69,DSI-70,DSI-71,DSI-72,DSI-73,DSI-74,DSI-75,DSI-76,DSI-77,DSI-78,DSI-79,DSI-80,DSI-81,DSI-82,DSI-83,DSI-84,DSI-85,DSI-86,DSI-87,DSI-88,DSI-89,DSI-90,DSI-91
presidentDonaldTrump,850,UNKNOWN,90,0.05583289542827115,0.004798882881768708,0.0002679355261103128,0.064,0.078125,0.05228758169934641,0.10714285714285714,0.0364963503649635,0.08870967741935484,0.058394160583941604,0.08695652173913043,0.0103359173126615,0.07017543859649122,0.07317073170731707,0.028037383177570093,0.08088235294117647,0.06396588486140725,0.05925925925925926,0.08928571428571429,0.03089887640449438,0.041666666666666664,0.043010752688172046,0.07627118644067797,0.02346041055718475,0.0660377358490566,0.06944444444444445,0.08917197452229299,0.07407407407407407,0.046511627906976744,0.02403846153846154,0.06504065040650407,0.015151515151515152,0.043010752688172046,0.007751937984496124,0.05555555555555555,0.025974025974025976,0.06474820143884892,0.01818181818181818,0.00909090909090909,0.027472527472527472,0.01764705882352941,0.013513513513513514,0.0975609756097561,0.06611570247933884,0.06299212598425197,0.0049504950495049506,0.0859375,0.05970149253731343,0.0641025641025641,0.046153846153846156,0.11409395973154363,0.03361344537815126,0.006944444444444444,0.10077519379844961,,0.11764705882352941,0.0970873786407767,0.03968253968253968,0.07692307692307693,0.12359550561797752,0.06696428571428571,0.041666666666666664,0.015384615384615385,0.09352517985611511,0.08024691358024691,0.02727272727272727,0.046296296296296294,0.0875,0.03735632183908046,0.00823045267489712,0.06779661016949153,0.07352941176470588,0.11214953271028037,0.18018018018018017,0.08408408408408409,0.11144578313253012,0.021897810218978103,0.11818181818181818,0.020905923344947737,0.02564102564102564,0.015625,0.044444444444444446,0.015810276679841896,0.10714285714285714,0.04081632653061224,0.09302325581395349,0.04065040650406504,0.09836065573770492,0.04716981132075472,0.09821428571428571,0.025423728813559324,0.008771929824561403,0.064,0.06349206349206349
country,159,UNKNOWN,51,0.010444035733053074,0.25147121622315727,0.00262637436806897,0.08,0.046875,0.026143790849673203,,0.0072992700729927005,,,0.02608695652173913,,,0.016260162601626018,,0.01838235294117647,0.006396588486140725,0.007407407407407408,0.013392857142857142,0.008426966292134831,,0.007168458781362007,0.01694915254237288,0.03812316715542522,0.009433962264150943,0.004629629629629629,,,,0.07211538461538461,0.008130081300813009,,,0.023255813953488372,,,0.06474820143884892,,,0.03296703296703297,0.0058823529411764705,,0.006097560975609756,,0.007874015748031496,0.0049504950495049506,0.0078125,,0.00641025641025641,0.007692307692307693,0.006711409395973154,,0.027777777777777776,0.03875968992248062,,0.01680672268907563,,0.031746031746031744,,,,0.013888888888888888,0.03076923076923077,,0.006172839506172839,0.00909090909090909,0.009259259259259259,0.00625,0.0028735632183908046,0.024691358024691357,,,0.018691588785046728,,0.012012012012012012,0.009036144578313253,,,0.003484320557491289,,,,0.003952569169960474,,,,0.04065040650406504,0.02459016393442623,0.009433962264150943,,,,0.016,0.007936507936507936
china,101,UNKNOWN,23,0.00663426169206516,0.5973135563035007,0.003962734444735521,,0.015625,0.006535947712418301,,,,0.0072992700729927005,0.017391304347826087,0.00516795865633075,,,,0.003676470588235294,,,0.004464285714285714,,,,,0.08211143695014662,0.009433962264150943,,,,,,,,,0.03875968992248062,,,,,,0.016483516483516484,0.01764705882352941,,,,0.07086614173228346,,,,,,0.10738255033557047,,0.013888888888888888,,,,,,,,,,,,0.0030864197530864196,,,,0.0028735632183908046,,,,,,0.021021021021021023,,0.0036496350364963502,,,,,0.06666666666666667,0.011857707509881422,,0.08163265306122448,,0.024390243902439025,,,,,,,
united state,87,UNKNOWN,41,0.005714661061481871,0.34625753560135814,0.001978744455945754,0.008,0.046875,0.006535947712418301,,,0.008064516129032258,,0.008695652173913044,,,,,,0.0042643923240938165,0.007407407407407408,0.004464285714285714,0.0028089887640449437,0.008333333333333333,,,0.017595307917888565,0.0047169811320754715,0.004629629629629629,,0.009259259259259259,,0.02403846153846154,0.008130081300813009,,0.005376344086021506,,,,,,,,0.0058823529411764705,,,,0.007874015748031496,,,,,0.007692307692307693,0.013422818791946308,,0.020833333333333332,,,,,0.007936507936507936,0.006993006993006993,,0.004464285714285714,0.006944444444444444,0.007692307692307693,,0.009259259259259259,0.00909090909090909,,0.00625,0.031609195402298854,0.04938271604938271,,0.007352941176470588,,0.009009009009009009,0.003003003003003003,0.0030120481927710845,0.0072992700729927005,,,,,,0.007905138339920948,,,,0.008130081300813009,0.02459016393442623,0.018867924528301886,,,,,
republican,80,UNKNOWN,27,0.005254860746190226,0.5276776281621063,0.0027728724548718143,,,,0.007142857142857143,,,,0.017391304347826087,0.002583979328165375,0.008771929824561403,,0.018691588785046728,,,0.02962962962962963,0.004464285714285714,,0.025,,,0.002932551319648094,0.009433962264150943,,,0.009259259259259259,,,,,,,,,,0.024242424242424242,,,,0.0472972972972973,0.012195121951219513,0.024793388429752067,,0.0297029702970297,,,,0.015384615384615385,,0.04481792717086835,,,,,,,,,,,0.007692307692307693,,,0.05454545454545454,,,,,,,0.028037383177570093,,,,0.0036496350364963502,,,,,,,0.017857142857142856,,0.007751937984496124,,,,0.008928571428571428,,,0.008,0.03968253968253968
north korea,75,UNKNOWN,10,0.004926431949553337,0.9590413923210935,0.004724652156074751,,,,,,,,,,,,,0.003676470588235294,,,,,,,,,,,,,,,,,,,,,,,,,0.06470588235294118,,,,0.047244094488188976,,,,,,0.087248322147651,,,0.031007751937984496,,0.008403361344537815,,,,,,,,,0.021604938271604937,,,,0.03735632183908046,,,,,,,,,,,,,,0.06719367588932806,,,,0.016260162601626018,,,,,,,
unitedStates,74,UNKNOWN,25,0.004860746190225959,0.561101383649056,0.0027273714129026636,,0.0234375,,,,,0.021897810218978103,0.017391304347826087,0.002583979328165375,,,,,0.0042643923240938165,,,,,0.0035842293906810036,0.00847457627118644,0.017595307917888565,0.0047169811320754715,,,,,,,,0.005376344086021506,0.03875968992248062,,,0.02158273381294964,,,0.054945054945054944,,,,0.03305785123966942,,,,0.007462686567164179,,,0.013422818791946308,0.0028011204481792717,0.013888888888888888,,0.02631578947368421,0.07563025210084033,,,,,,,,,,,,,,,,,,,0.003003003003003003,,0.010948905109489052,,,,,,0.02766798418972332,,,,,0.00819672131147541,,,,,0.008,
state,65,UNKNOWN,29,0.004269574356279559,0.4966433944221375,0.0021204559010403927,,,,,0.014598540145985401,0.008064516129032258,,,0.002583979328165375,,,,0.003676470588235294,,,0.004464285714285714,0.0449438202247191,,0.007168458781362007,,,,,0.006369426751592357,,,0.038461538461538464,0.016260162601626018,,,,,0.012987012987012988,,,0.00909090909090909,,0.0058823529411764705,,,0.008264462809917356,,0.009900990099009901,,0.007462686567164179,,,0.006711409395973154,0.0028011204481792717,,,,,0.038834951456310676,0.007936507936507936,,,,,,,,0.00909090909090909,,,0.0028735632183908046,,,,,,,0.0030120481927710845,0.0036496350364963502,,0.003484320557491289,,,,0.007905138339920948,0.008928571428571428,,,,,,,0.01694915254237288,,,0.007936507936507936
plan,64,UNKNOWN,31,0.004203888596952181,0.46767969848682095,0.001966073351494781,0.024,,0.006535947712418301,0.014285714285714285,0.0072992700729927005,,0.0072992700729927005,0.02608695652173913,0.007751937984496124,,,,,,0.007407407407407408,0.017857142857142856,,0.016666666666666666,0.0035842293906810036,0.00847457627118644,,,,,0.009259259259259259,,0.004807692307692308,,,0.016129032258064516,,,,,,0.00909090909090909,,0.0058823529411764705,,,,,,0.015625,,,,0.006711409395973154,0.0028011204481792717,,,,,,,,,,,0.015384615384615385,0.007194244604316547,,,,,0.008620689655172414,,,,,,0.003003003003003003,,0.010948905109489052,,,0.042735042735042736,0.046875,,0.003952569169960474,,,,,,,,0.05084745762711865,0.008771929824561403,0.008,
russia,64,UNKNOWN,15,0.004203888596952181,0.7829501332654123,0.003291435137216657,,0.03125,,,,,,,,,0.04065040650406504,,0.04779411764705882,,,0.004464285714285714,,,,,,0.0660377358490566,0.004629629629629629,,,0.031007751937984496,,,,,,,,,,,,,,,0.01652892561983471,,,,,,,,,,,,0.01680672268907563,,,,,0.008928571428571428,,,0.04316546762589928,,,,,,,,,,,,0.012048192771084338,0.0036496350364963502,,,,,,0.011857707509881422,,,0.015503875968992248,,,,,,,,
